1|5|1|8. 5. 2021. 00:00:00|29. 5. 2021. 00:00:00|We will replace windows and floors and install 2 air conditioners.|4
2|5|2|1. 5. 2022. 00:00:00|5. 5. 2022. 00:00:00|We will renovate the living room and kitchen.|5
3|5|3|5. 5. 2022. 00:00:00|8. 5. 2022. 00:00:00|We will upgrade bathroom fixtures and tiles.|4
4|5|2|12. 2. 2024. 00:00:00|12. 3. 2024. 00:00:00|We will install new lighting fixtures and repaint walls.|4
5|5|1|5. 1. 2023. 00:00:00|9. 1. 2023. 00:00:00|We will replace old furniture with new ones.|4
6|5|1|5. 5. 2024. 00:00:00|8. 5. 2024. 00:00:00|We will upgrade kitchen cabinets and countertops.|4
7|5|2|5. 5. 2024. 00:00:00|8. 5. 2024. 00:00:00|We will renovate the living room and kitchen.|4
8|5|1|5. 5. 2024. 00:00:00|8. 5. 2024. 00:00:00|We will upgrade kitchen cabinets and countertops.|4
9|5|2|5. 5. 2024. 00:00:00|8. 5. 2024. 00:00:00|We will renovate the living room and kitchen.|4
10|5|1|1. 3. 2024. 00:00:00|3. 3. 2024. 00:00:00|We will replace old furniture with new ones.|4
11|5|2|5. 5. 2024. 00:00:00|8. 5. 2024. 00:00:00|We will renovate the living room and kitchen.|4
12|5|1|5. 9. 2024. 00:00:00|8. 9. 2022. 00:00:00|We will upgrade kitchen cabinets and countertops.|4
13|5|2|5. 8. 2021. 00:00:00|8. 8. 2021. 00:00:00|We will renovate the living room and kitchen.|4
14|5|1|7. 11. 2024. 00:00:00|11. 11. 2024. 00:00:00|We will repaint walls and replace flooring.|5
15|5|2|10. 6. 2022. 00:00:00|14. 6. 2022. 00:00:00|We will replace windows and floors and install 2 air conditioners.|4
16|5|1|3. 9. 2023. 00:00:00|7. 9. 2023. 00:00:00|We will upgrade kitchen cabinets and countertops.|4
17|5|3|7. 12. 2024. 00:00:00|11. 12. 2024. 00:00:00|Bathroom renovation: new tiles, shower, and sink installation.|5
21|5|3|9. 11. 2026. 00:00:00|13. 11. 2026. 00:00:00|Attic conversion: turning it into a cozy study space.|4
23|5|2|15. 5. 2027. 00:00:00|19. 5. 2027. 00:00:00|Home office setup: custom desks and shelving installation.|4
25|5|1|22. 5. 2024. 00:00:00|24. 5. 2024. 00:00:00|New kitchen floor|3
26|5|1|7. 5. 2024. 00:00:00|9. 5. 2024. 00:00:00|nn|3
27|5|1|9. 5. 2024. 00:00:00|11. 5. 2024. 00:00:00|ndnwednwdnw|3
28|5|3|11. 5. 2024. 00:00:00|13. 5. 2024. 00:00:00|jkkjnjnkjnjnnkjnnknnn|3
29|5|2|7. 11. 2024. 00:00:00|11. 11. 2024. 00:00:00|josdfjofndi|5
